location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Somewhat positive,Smartphone,2,645,Working,4,true,false,false,3,5,With colleagues,3,7,4
At work,Somewhat negative,Smartphone,2,652,Working,4,true,true,false,4,1,With colleagues,5,7,6
In transit,Neutral,Smartphone,2,659,Commuting,4,false,true,false,4,4,In a public,3,7,8
At home,Neutral,Smartphone,2,666,Other,4,true,false,false,3,3,Alone,3,7,8
At study,Very positive,Smartphone,3,646,Using social media,4,true,false,false,3,5,With friends,3,7,0
At work,Somewhat positive,Laptop/Desktop,3,653,Working,3,false,true,false,5,2,With colleagues,4,7,2
At work,Very negative,Laptop/Desktop,3,660,Working,4,false,true,false,5,2,With colleagues,5,7,4
In transit,Neutral,Smartwatch,3,667,Commuting,3,false,true,false,5,3,In a public,5,7,6
At work,Somewhat negative,Smartphone,4,647,Working,4,false,true,false,2,2,With colleagues,1,7,5
At work,Neutral,Smartphone,4,654,Working,3,true,false,false,3,3,With colleagues,1,8,4
At work,Somewhat positive,Smartphone,4,661,Working,3,true,false,false,2,5,With colleagues,2,8,6
At home,Somewhat positive,Smartphone,4,668,Using social media,1,true,false,true,2,4,Alone,3,8,6
In transit,Neutral,Smartphone,5,648,Commuting,2,false,true,false,3,2,In a public,4,7,2
At home,Somewhat positive,Laptop/Desktop,5,655,Working,3,false,true,false,1,3,Alone,1,7,3
At home,Very positive,Smartphone,5,662,Using social media,4,true,false,false,1,5,Alone,1,7,4
At home,Somewhat positive,Laptop/Desktop,5,669,Studying,3,false,true,false,3,2,With friends,4,7,5
In transit,Neutral,Smartphone,6,649,Other,1,false,true,false,3,3,In a public,3,8,4
In transit,Neutral,Smartphone,6,656,Commuting,1,false,true,false,3,3,In a public,3,8,4
Outdoors,Neutral,Smartphone,6,663,Studying,2,true,false,false,3,3,In a public,3,8,4
At study,Neutral,Smartphone,6,670,Exercising,3,true,false,false,3,3,With friends,3,8,4
At study,Somewhat positive,Smartphone,7,650,Studying,4,true,false,false,2,4,With friends,2,8,0
At work,Very positive,Smartphone,8,651,Working,4,true,false,false,1,5,With colleagues,1,8,3
At work,Very positive,Smartphone,8,658,Studying,4,true,false,false,1,5,With colleagues,2,0,2
At work,Very positive,Smartphone,8,665,Working,4,true,false,false,1,5,With colleagues,1,0,2
At work,Very positive,Laptop/Desktop,8,672,Working,4,true,false,false,1,5,With colleagues,1,0,2
,,,7,657,,,,,,,,,,,
,,,7,664,,,,,,,,,,,
,,,7,671,,,,,,,,,,,
